epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7521,1.13152,3.14756,1.37984,0.00766,0.76923,0.23421,0.11509,0.73008,3.07899,1.26254,5.716e-05,5.716e-05,5.716e-05
2,25.5684,0.96009,3.00907,1.27614,0.01142,0.89744,0.46343,0.27059,0.86382,3.00484,1.33074,0.000127337,0.000127337,0.000127337
3,27.3245,0.81234,2.74392,1.19597,0.02717,0.92308,0.5184,0.32703,0.77278,3.00552,1.30062,0.000196099,0.000196099,0.000196099
4,29.9195,0.77628,2.40125,1.15962,0.04003,0.94872,0.59874,0.38173,0.69718,2.96499,1.24763,0.000263446,0.000263446,0.000263446
5,31.8786,0.7595,2.12928,1.11985,0.03086,1,0.64138,0.48117,0.72337,2.86886,1.23997,0.000329379,0.000329379,0.000329379
6,33.639,0.76585,1.95701,1.1301,0.0203,0.97436,0.62325,0.45723,0.73273,2.83843,1.27583,0.000393897,0.000393897,0.000393897
7,35.4674,0.70741,1.72567,1.07868,0.00935,0.82051,0.47186,0.34063,0.7899,2.84644,1.32826,0.000457,0.000457,0.000457
8,37.0888,0.79463,1.58771,1.10799,0.00861,0.76923,0.53668,0.37317,0.78357,2.86706,1.28455,0.000518688,0.000518688,0.000518688
9,38.6557,0.8178,1.41289,1.12556,1,0.06935,0.51438,0.27489,0.91312,2.83776,1.45225,0.000578962,0.000578962,0.000578962
10,40.4729,0.7326,1.29972,1.08916,0.89684,0.05128,0.40012,0.21037,1.18441,2.85266,1.751,0.000637821,0.000637821,0.000637821
11,42.9911,0.75944,1.1824,1.08912,0.85949,0.10594,0.33708,0.19435,1.14668,2.82633,1.7744,0.000695266,0.000695266,0.000695266
12,44.9306,0.7226,1.11551,1.06322,0.86076,0.12821,0.64397,0.42014,1.0975,2.60538,1.68464,0.000751295,0.000751295,0.000751295
13,46.5345,0.69639,1.03544,1.04955,0.9033,0.10256,0.76199,0.49526,1.11978,2.5708,1.64166,0.00080591,0.00080591,0.00080591
14,48.3975,0.72321,1.00807,1.08322,0.01193,0.97436,0.76997,0.46914,1.03926,2.50215,1.56315,0.000859111,0.000859111,0.000859111
15,50.0659,0.75319,1.01483,1.0886,0.90123,0.23605,0.80574,0.56311,1.00817,2.38247,1.55846,0.000910896,0.000910896,0.000910896
16,51.7677,0.68122,0.93915,1.04316,0.8663,0.34387,0.78385,0.53916,1.00733,2.30929,1.5808,0.000961267,0.000961267,0.000961267
17,53.4841,0.64513,0.90443,1.0246,0.74653,0.4699,0.75316,0.52856,0.96588,2.18369,1.57939,0.00101022,0.00101022,0.00101022
18,55.9786,0.62457,0.8378,0.99689,0.8072,0.40057,0.75876,0.5578,0.91097,2.18575,1.51386,0.00105776,0.00105776,0.00105776
19,57.8854,0.67757,0.85938,1.06363,0.89438,0.4575,0.75382,0.52977,1.0082,2.11109,1.57301,0.00110389,0.00110389,0.00110389
20,59.6094,0.6492,0.85723,1.03102,0.75243,0.48664,0.71864,0.5351,1.10648,2.0432,1.75144,0.0011486,0.0011486,0.0011486
21,61.2049,0.67785,0.8582,1.05547,0.79419,0.51782,0.74723,0.55622,1.15012,2.01978,1.80452,0.00114606,0.00114606,0.00114606
22,62.7536,0.68248,0.83023,1.05238,0.78237,0.6581,0.77291,0.58248,1.05479,1.87745,1.65135,0.00113191,0.00113191,0.00113191
23,64.5666,0.6529,0.81464,1.02817,0.61049,0.66268,0.77329,0.53777,1.12004,1.87827,1.74277,0.00111776,0.00111776,0.00111776
24,66.2219,0.61136,0.74561,0.98822,0.6237,0.68091,0.74081,0.49126,1.15503,1.71838,1.77008,0.00110362,0.00110362,0.00110362
25,68.7848,0.60491,0.79761,1.0002,0.71447,0.72421,0.74538,0.51733,1.19777,1.62016,1.76026,0.00108947,0.00108947,0.00108947
26,70.6589,0.64964,0.75865,1.03692,0.76706,0.68376,0.72647,0.55134,1.1063,1.6484,1.67507,0.00107532,0.00107532,0.00107532
27,72.378,0.58665,0.7329,0.98344,0.81254,0.75738,0.76006,0.52735,1.19281,1.69473,1.70158,0.00106118,0.00106118,0.00106118
28,74.0563,0.59355,0.75398,0.97868,0.7994,0.79504,0.78574,0.59471,0.94683,1.47126,1.48888,0.00104703,0.00104703,0.00104703
29,75.6052,0.57089,0.73633,0.96934,0.77498,0.79487,0.75741,0.57995,1.02652,1.36196,1.59869,0.00103288,0.00103288,0.00103288
30,78.1231,0.58749,0.70045,1.00799,0.74666,0.82042,0.74187,0.56886,0.99601,1.29105,1.58459,0.00101873,0.00101873,0.00101873
31,79.9839,0.56072,0.71181,0.98935,0.78416,0.79274,0.74738,0.58739,0.95012,1.27552,1.55587,0.00100459,0.00100459,0.00100459
32,82.5893,0.56219,0.69576,0.98469,0.77069,0.77566,0.78019,0.61149,0.95313,1.26953,1.55682,0.00099044,0.00099044,0.00099044
33,84.3127,0.5565,0.71253,0.98234,0.76134,0.82051,0.79013,0.60652,0.98617,1.2292,1.59981,0.000976293,0.000976293,0.000976293
34,86.0207,0.55181,0.70518,1.00128,0.77307,0.80123,0.79756,0.59712,1.01193,1.23859,1.61474,0.000962146,0.000962146,0.000962146
35,87.7074,0.56165,0.69259,0.98335,0.80334,0.80916,0.81104,0.63536,0.98689,1.13517,1.57627,0.000947999,0.000947999,0.000947999
36,89.4699,0.54313,0.67054,0.96486,0.795,0.82051,0.82156,0.62304,0.89385,1.09631,1.42929,0.000933851,0.000933851,0.000933851
37,91.0652,0.5256,0.67873,0.96055,0.82207,0.73996,0.81091,0.64175,0.83791,1.08549,1.39048,0.000919704,0.000919704,0.000919704
